function,description,sqliteDbAverage (ns),mockDbAverage (ns)
ceiling,"(ceiling longNumber.12345 4)
",6747.514034718272,6660.940670677377
ceiling,"(ceiling medNumber.12345 4)
",6655.265566873757,6637.177221492089
ceiling,"(ceiling smallNumber.12345 4)
",6607.800568600419,6713.143075692555
chain-data,"(chain-data)
",6217.488789111095,6154.650686842586
compose,"(compose (+ 0) (+ 0) 0)
",7066.615882003352,7043.632313143021
compose-capability,"(compose-capability (accounts.GOV))
",7862.699159637479,7750.620661843867
constantly,"(constantly 0 ""firstIgnore"")
",4929.538921121748,4933.244393589265
constantly,"(constantly 0 ""firstIgnore"" ""secondIgnore"")
",4989.098637498793,5003.549705276141
constantly,"(constantly 0 ""firstIgnore"" ""secondIgnore"" ""thirdIgnore"")
",5083.956232992112,5083.969978948347
contains,"(contains longNumber longNumberList)
",3411139.9300206117,3445411.075073646
contains,"(contains medNumber medNumberList)
",25842.223080324362,25602.869050839243
contains,"(contains smallNumber smallNumberList)
",8961.257413153733,8919.087790252679
contains,"(contains ""a1"" longOjectMap)
",8357244.788299809,8363635.1691173315
contains,"(contains ""a1"" medOjectMap)
",31101.738107558413,31387.882035768616
contains,"(contains ""a1"" smallOjectMap)
",8479.840676367117,7807.94292077921
contains,"(contains ""alongNumber"" longString)
",179312.66250087353,179560.70986034407
contains,"(contains ""amedNumber"" medString)
",7198.108619917268,7237.799995445843
contains,"(contains ""asmallNumber"" smallString)
",5803.006896827889,5792.054895123579
create-module-guard,"(create-module-guard ""test"")
",5335.101943069261,5258.152427675647
create-pact-guard,"(create-pact-guard ""test"")
",5325.0721490403,5347.680525723508
create-table,"(create-table accounts.accounts-for-testing-table-creation)
",40335.95541241984,6485.487155656253
create-user-guard,"(create-user-guard (accounts.enforce-true))
",5471.64311124833,5639.377020774282
days,"(days longNumber)
",13191.551230033407,13282.30279464572
days,"(days medNumber)
",13099.484709356993,13057.711334834865
days,"(days smallNumber)
",13171.844679916006,13013.013877873515
decrypt-cc20p1305,"(decrypt-cc20p1305
""Zi1REj5-iA""
""AAAAAAECAwQFBgcI""
""YWFk""
""FYP6lG7xq7aExvoaHIH8Jg""
""8520f0098930a754748b7ddcb43ef75a0dbf3a0d26381af4eba4a98eaa9b4e6a""
""5dab087e624a8a4b79e17f8b83800ee66f3bb1292618b6fd1c2f8b27ff88e0eb"")
",86921.44047664374,87130.80201920574
define-keyset,"(define-keyset ""some-loaded-keyset"" some-loaded-keyset)
: rotating keyset",54188.72357398609,6327.583324550916
define-keyset,"(define-keyset ""some-keyset-name-not-present-already"" some-loaded-keyset)
",54644.91206499582,6179.874048951436
define-namespace,"(define-namespace 'some-other-namespace some-loaded-keyset some-loaded-keyset)
",59199.70909363969,6992.295014040726
define-namespace,"(define-namespace 'my-namespace some-loaded-keyset some-loaded-keyset)
: Defining namespace with the same name as one already defined.",73765.42187412088,7468.146596777998
describe-keyset,"(describe-keyset ""some-loaded-keyset"")
",21584.67936038879,5375.091438239898
describe-module,"(describe-module ""accounts"")
",28908.55942379654,28283.213600932562
describe-table,"(describe-table accounts.accounts)
",11613.828717728864,11562.833302447274
diff-time,"(diff-time (time ""2016-07-22T12:00:00Z"")
(time ""2018-07-22T12:00:00Z""))
",24173.246709110022,23693.491132097726
